ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
696
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
150 1 6.28599 0.00032058 9.43146 -10.7856
2 1 1.57003 1.57081 1.56778 -10.7917
695 3 9.63327 10.3576 10.9273 0
4 1 4.71452 1.56991 1.5672 -10.7898
396 1 11.0061 11.0057 4.69973 -10.7736
6 1 7.86076 1.5693 1.56695 -10.7881
395 1 7.86842 11.0068 4.72279 -10.743
8 1 11.0077 1.56922 1.56696 -10.7877
50 1 22.013 0.000259068 3.14028 -10.7909
10 1 14.1543 1.56966 1.56723 -10.7887
99 1 22.0128 0.000730346 6.28548 -10.7886
12 1 17.2999 1.5704 1.56767 -10.7909
691 3 11.3666 10.0372 10.95 0
14 1 20.4425 1.57139 1.56838 -10.7916
111 1 18.8714 0.0008429 6.2851 -10.7886
16 1 1.57058 4.71544 1.56791 -10.7893
148 1 22.0126 0.00107681 9.43152 -10.7876
18 1 4.7133 4.71311 1.56533 -10.7903
445 1 11.0383 10.9985 7.76319 -10.6629
20 1 7.8602 4.71196 1.56497 -10.7879
444 1 7.86474 11.0063 7.87794 -10.6379
22 1 11.0081 4.71167 1.56492 -10.7872
442 1 1.56997 11.0069 7.85732 -10.7801
24 1 14.1558 4.71218 1.56504 -10.7892
196 1 20.4435 7.86041 11.0046 -10.7828
26 1 17.3013 4.7137 1.56688 -10.7903
398 1 17.3052 11.0069 4.70802 -10.7852
28 1 20.4432 4.71569 1.56845 -10.7893
195 1 17.3045 7.85825 11.0048 -10.775
30 1 1.57176 7.86131 1.5687 -10.7866
393 1 1.57067 11.0067 4.71151 -10.7852
32 1 4.71569 7.86138 1.56754 -10.7844
188 1 17.302 4.71237 11.0045 -10.7833
34 1 7.861 7.85943 1.56488 -10.7856
349 1 17.3016 11.0069 1.56754 -10.7867
36 1 11.0073 7.85889 1.56422 -10.7845
350 1 20.4439 11.0068 1.56891 -10.7868
38 1 14.1565 7.85869 1.56411 -10.7876
163 1 3.13583 6.28311 9.4308 -10.7833
40 1 17.3015 7.86008 1.56722 -10.7875
162 1 22.0122 6.28729 9.43144 -10.7848
42 1 20.4437 7.86113 1.56874 -10.7873
161 1 18.8715 3.14273 9.43128 -10.7862
160 1 15.7294 3.1389 9.43028 -10.7851
344 1 1.57215 11.0068 1.56904 -10.7863
159 1 12.582 3.133 9.43026 -10.7829
158 1 9.43085 3.13566 9.42876 -10.7766
157 1 6.28384 3.13649 9.43128 -10.7833
156 1 3.13931 3.14049 9.431 -10.7867
689 2 10.9453 10.1593 9.92184 -0.223145
51 1 1.56939 1.57077 4.71195 -10.79
155 1 22.0123 3.14309 9.43143 -10.7869
53 1 4.71204 1.56781 4.70944 -10.7914
175 1 18.8763 9.43266 9.43022 -10.7814
55 1 7.85959 1.5671 4.70895 -10.7883
174 1 15.7422 9.42713 9.42283 -10.7925
57 1 11.0079 1.5671 4.7091 -10.7875
173 1 12.696 9.32043 9.33643 -10.9794
59 1 14.1556 1.56778 4.70971 -10.7892
172 1 9.34491 9.13966 9.18348 -10.4667
61 1 17.3007 1.57018 4.71118 -10.7901
62 1 18.8715 0.000299605 3.13987 -10.7909
63 1 20.4423 1.57158 4.71268 -10.7895
64 1 22.0127 3.14271 3.13956 -10.7908
65 1 1.56716 4.71288 4.70982 -10.7912
66 1 3.13927 3.13985 3.13668 -10.7928
67 1 4.70402 4.70378 4.70087 -10.7978
68 1 6.28576 3.13875 3.13597 -10.7897
69 1 7.85687 4.70418 4.70187 -10.7892
70 1 9.43395 3.13825 3.13591 -10.788
71 1 11.0095 4.70429 4.70247 -10.7869
72 1 12.5822 3.13856 3.13618 -10.7883
73 1 14.1627 4.70358 4.70127 -10.795
74 1 15.7299 3.13914 3.13651 -10.7915
75 1 17.3049 4.71038 4.70766 -10.7925
