ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
693
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
398 1 17.2974 11.0066 4.71686 -10.7778
2 1 1.57092 1.57222 1.57152 -10.7824
15 1 22.0132 3.14462 0.000219256 -10.782
4 1 4.71528 1.57213 1.57073 -10.7823
690 2 10.9555 9.94471 10.546 -0.411396
6 1 7.86073 1.57231 1.57043 -10.7816
175 1 18.8708 9.43384 9.43459 -10.7777
8 1 11.0065 1.57256 1.57066 -10.7813
50 1 22.013 0.00012302 3.1439 -10.7821
10 1 14.1521 1.57269 1.57123 -10.7814
56 1 9.43345 0.000890094 3.14199 -10.7817
12 1 17.2971 1.57265 1.57184 -10.7818
174 1 15.7267 9.43343 9.43874 -10.7813
14 1 20.4413 1.57245 1.57202 -10.7822
58 1 12.5795 0.00106449 3.14236 -10.7816
16 1 1.57098 4.71701 1.57204 -10.7815
693 3 10.4159 11.0027 10.3207 0
18 1 4.7149 4.71615 1.57079 -10.7821
60 1 15.725 0.000929119 3.1431 -10.7818
20 1 7.86055 4.716 1.57045 -10.7811
395 1 7.85919 11.0058 4.71261 -10.7731
22 1 11.0066 4.71629 1.57087 -10.7806
111 1 18.8693 4.89434e-05 6.2887 -10.7812
24 1 14.1522 4.71659 1.5718 -10.7809
444 1 7.86983 11.0039 7.86638 -10.7538
26 1 17.2972 4.71694 1.57262 -10.7813
27 1 18.8695 3.14457 0.000546837 -10.782
28 1 20.4412 4.7172 1.57263 -10.7812
29 1 22.0135 6.28952 0.000647545 -10.7812
30 1 1.57139 7.86206 1.57244 -10.7806
31 1 3.14331 6.28922 0.000149542 -10.7811
32 1 4.7153 7.86161 1.57161 -10.7804
25 1 15.7248 3.14453 0.000172911 -10.7814
34 1 7.85999 7.86071 1.57 -10.7814
397 1 14.1524 11.0062 4.71452 -10.7737
36 1 11.0065 7.86116 1.57077 -10.7799
37 1 12.5795 6.2887 0.000231718 -10.7803
38 1 14.1526 7.86123 1.57231 -10.7804
39 1 15.7252 6.28881 0.00131156 -10.7811
40 1 17.2973 7.86182 1.57321 -10.7803
345 1 4.71564 11.0069 1.5716 -10.7799
42 1 20.4415 7.86206 1.57302 -10.7806
43 1 22.0138 9.43447 0.000753385 -10.7808
394 1 4.71554 11.0069 4.71602 -10.7773
347 1 11.0066 11.0068 1.56775 -10.7832
446 1 14.1524 11.002 7.8625 -10.7679
47 1 12.5802 9.43369 0.000451908 -10.7807
48 1 15.7256 9.43405 0.00147471 -10.7804
163 1 3.13987 6.28631 9.43312 -10.7815
173 1 12.6173 9.377 9.38714 -11.0779
51 1 1.57038 1.57191 4.71586 -10.782
172 1 9.36843 9.34597 9.36591 -10.6141
53 1 4.71405 1.57126 4.71445 -10.783
54 1 6.28745 0.000546077 3.14207 -10.7823
55 1 7.85987 1.5714 4.71392 -10.7822
171 1 6.27723 9.42703 9.43297 -10.7872
57 1 11.0065 1.57184 4.71424 -10.7815
170 1 3.14018 9.43285 9.43315 -10.7797
59 1 14.1525 1.5722 4.71498 -10.7817
169 1 22.013 9.43404 9.434 -10.7799
61 1 17.2974 1.57231 4.71587 -10.7818
62 1 18.8695 0.000543243 3.14377 -10.7821
63 1 20.441 1.5722 4.71639 -10.7816
64 1 22.0127 3.14455 3.14408 -10.7817
65 1 1.5699 4.71633 4.71581 -10.7818
66 1 3.14215 3.14382 3.14289 -10.7826
67 1 4.7124 4.71391 4.71311 -10.7839
68 1 6.28718 3.14341 3.14202 -10.7823
69 1 7.85894 4.7134 4.71257 -10.7825
70 1 9.43339 3.14367 3.14211 -10.7812
71 1 11.0065 4.71437 4.71345 -10.7805
72 1 12.5795 3.14411 3.14276 -10.7812
73 1 14.1526 4.71537 4.71482 -10.7809
74 1 15.7248 3.14447 3.14362 -10.7814
