ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
697
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 0.00554377 0.00176911 0.00428373 -10.8038
2 1 1.57264 1.57112 1.5712 -10.8023
514 1 7.79599 10.9942 10.8709 -10.795
4 1 4.71563 1.56989 1.56675 -10.7991
175 1 18.8774 9.43372 9.43342 -10.7738
6 1 7.8615 1.56992 1.56532 -10.7948
174 1 15.7638 9.39705 9.38085 -10.7638
8 1 11.0078 1.57063 1.56685 -10.7937
173 1 12.5482 9.37788 9.26901 -10.494
10 1 14.1544 1.57145 1.57032 -10.7943
172 1 9.25001 9.02793 9.32011 -10.8108
12 1 17.3009 1.57183 1.57378 -10.7974
515 1 10.3985 10.938 10.2063 -10.0786
14 1 20.4455 1.57185 1.57497 -10.8015
11 1 15.728 0.00211739 0.00279116 -10.7953
16 1 1.57245 4.71526 1.57185 -10.7979
512 1 1.56418 11.0069 11.0051 -10.7848
18 1 4.71267 4.71171 1.56495 -10.7995
513 1 4.69492 11.0033 10.9918 -10.7637
20 1 7.85989 4.71166 1.56246 -10.794
50 1 0.000875718 0.00124682 3.14396 -10.8013
22 1 11.0074 4.71246 1.56422 -10.7919
109 1 15.7275 0.00250058 6.28595 -10.7933
24 1 14.1549 4.71323 1.56918 -10.7932
446 1 14.1857 10.9974 7.83504 -10.7102
26 1 17.3027 4.71355 1.57481 -10.7976
27 1 18.8768 3.14132 0.00755045 -10.8012
28 1 20.4462 4.71516 1.57514 -10.7982
445 1 10.9843 10.9934 7.67303 -10.8107
30 1 1.57362 7.86163 1.57344 -10.7937
13 1 18.8755 0.00241644 0.00560833 -10.8008
32 1 4.71516 7.86145 1.56992 -10.7907
15 1 0.00475556 3.14303 0.00412872 -10.8011
34 1 7.85939 7.85955 1.56288 -10.7915
25 1 15.7286 3.14181 0.00384556 -10.795
36 1 11.0066 7.85976 1.56331 -10.7866
111 1 18.871 0.00217401 6.28789 -10.7952
38 1 14.155 7.86023 1.56855 -10.7902
39 1 15.7311 6.28557 0.0078698 -10.7961
40 1 17.3032 7.86065 1.57474 -10.7936
41 1 18.8778 6.28669 0.00837675 -10.7973
42 1 20.4469 7.8613 1.57578 -10.7946
443 1 4.71417 11.0059 7.85716 -10.7493
29 1 0.00503363 6.28808 0.0049922 -10.7966
43 1 0.00570972 9.43451 0.00566004 -10.7948
60 1 15.7277 0.00197403 3.14232 -10.7956
148 1 22.0125 0.0013767 9.43299 -10.7948
48 1 15.7317 9.43419 0.00654301 -10.7904
49 1 18.8785 9.43434 0.00836304 -10.7947
194 1 14.1775 7.8457 10.9286 -10.639
51 1 1.56824 1.57004 4.7129 -10.8001
52 1 3.14172 7.23564e-05 3.13923 -10.8013
53 1 4.70955 1.56599 4.70715 -10.8016
171 1 6.2443 9.38691 9.40316 -10.7971
55 1 7.85812 1.56587 4.7061 -10.7965
56 1 9.43418 0.000276907 3.13658 -10.7945
57 1 11.0074 1.56793 4.70774 -10.7939
58 1 12.5813 0.00117469 3.13897 -10.794
59 1 14.1548 1.56991 4.71121 -10.7941
170 1 3.12742 9.42902 9.4266 -10.7868
61 1 17.3 1.57126 4.71446 -10.796
62 1 18.8726 0.002113 3.14469 -10.7987
63 1 20.4425 1.57147 4.71562 -10.7985
64 1 22.0136 3.1424 3.14314 -10.8001
65 1 1.56511 4.71178 4.71092 -10.7997
66 1 3.1384 3.13876 3.13683 -10.8026
67 1 4.69873 4.70012 4.69723 -10.8081
68 1 6.28394 3.1367 3.13278 -10.7991
69 1 7.85113 4.69838 4.69519 -10.8007
70 1 9.43301 3.13782 3.13347 -10.7943
71 1 11.0062 4.70332 4.69903 -10.7928
72 1 12.5813 3.13967 3.13667 -10.7937
73 1 14.1578 4.7066 4.70384 -10.7963
74 1 15.7285 3.14088 3.14077 -10.796
