ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
686
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
175 1 18.8663 9.43748 9.43604 -10.7741
2 1 1.57364 1.57373 1.57377 -10.7735
174 1 15.708 9.4484 9.44173 -10.7867
4 1 4.71878 1.57335 1.57379 -10.774
173 1 12.5558 9.45761 9.45634 -10.2984
6 1 7.86361 1.57308 1.57388 -10.7744
48 1 15.725 9.43597 0.000632542 -10.7752
8 1 11.0081 1.57311 1.57393 -10.7746
50 1 0.000931903 0.00117581 3.14642 -10.7737
10 1 14.1526 1.5734 1.57395 -10.7745
193 1 11.0013 7.82971 11.0068 -10.5648
12 1 17.2972 1.57371 1.57389 -10.7741
172 1 9.46296 9.46048 9.46486 -10.3144
14 1 20.4421 1.57388 1.57382 -10.7736
135 1 12.5785 6.29415 6.29438 -10.7755
16 1 1.57369 4.71892 1.57379 -10.7738
54 1 6.29146 0.000337428 3.14657 -10.7741
18 1 4.719 4.71893 1.57399 -10.7739
62 1 18.8695 0.00115501 3.14662 -10.7738
20 1 7.86361 4.7187 1.57404 -10.7746
7 1 9.43602 0.000121627 0.00101299 -10.7744
22 1 11.008 4.71871 1.57412 -10.7748
134 1 11.0071 7.87204 7.87341 -10.788
24 1 14.1524 4.71893 1.57416 -10.7746
11 1 15.7249 0.000673208 0.000987351 -10.7743
26 1 17.297 4.71913 1.57412 -10.7741
143 1 6.29538 9.43778 6.2955 -10.7742
28 1 20.4421 4.71908 1.57382 -10.7738
142 1 3.14822 9.43646 6.2925 -10.7742
30 1 1.57402 7.8637 1.57377 -10.7742
141 1 0.00112708 9.43634 6.29179 -10.7745
32 1 4.71946 7.86384 1.57401 -10.7741
140 1 20.4403 7.86483 7.86437 -10.774
34 1 7.8637 7.86346 1.57424 -10.7749
155 1 22.0137 3.1475 9.43621 -10.774
36 1 11.0081 7.86366 1.57435 -10.7749
156 1 3.14578 3.14668 9.43603 -10.7746
38 1 14.1526 7.86359 1.57417 -10.7752
157 1 6.29113 3.14649 9.43609 -10.7753
40 1 17.2972 7.86378 1.57384 -10.7747
158 1 9.43467 3.14564 9.43534 -10.7765
42 1 20.4423 7.86379 1.57372 -10.7744
139 1 18.8671 6.29358 6.29336 -10.7725
138 1 17.2908 7.86893 7.86786 -10.7702
159 1 12.5802 3.14737 9.43609 -10.7752
160 1 15.723 3.14983 9.43685 -10.7734
137 1 15.721 6.29546 6.29536 -10.7714
136 1 14.1421 7.87442 7.87287 -10.7774
147 1 18.8683 9.437 6.29239 -10.7749
171 1 6.29952 9.43647 9.43728 -10.7829
51 1 1.57346 1.57394 4.71898 -10.7738
170 1 3.14798 9.43585 9.43592 -10.7751
53 1 4.71891 1.57356 4.71912 -10.774
169 1 0.000581768 9.43627 9.43589 -10.7751
55 1 7.8637 1.57321 4.71926 -10.7745
146 1 15.723 9.43729 6.2935 -10.7776
57 1 11.0081 1.57327 4.71942 -10.7746
145 1 12.5801 9.43643 6.29718 -10.7858
59 1 14.1523 1.57376 4.7195 -10.7744
144 1 9.43624 9.43546 6.29894 -10.7836
61 1 17.2968 1.57424 4.71947 -10.7739
168 1 18.8646 6.29565 9.43808 -10.7713
63 1 20.4418 1.57428 4.71926 -10.7737
64 1 0.000746426 3.14666 3.14662 -10.7735
65 1 1.57365 4.71933 4.71932 -10.7737
66 1 3.14642 3.14652 3.14666 -10.7736
67 1 4.71972 4.71984 4.72004 -10.7732
68 1 6.29127 3.14616 3.14666 -10.7743
69 1 7.86385 4.71931 4.71981 -10.7747
70 1 9.43586 3.14605 3.14679 -10.7747
71 1 11.0079 4.71944 4.72006 -10.7747
72 1 12.5802 3.14628 3.14688 -10.7747
73 1 14.1518 4.71997 4.72021 -10.7745
74 1 15.7246 3.14663 3.14693 -10.7742
75 1 17.2958 4.72044 4.72055 -10.7731
