ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
691
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
447 1 17.3012 11.0065 7.85955 -10.7738
2 1 1.57191 1.57153 1.57173 -10.7837
54 1 6.28889 0.000214548 3.14356 -10.7823
4 1 4.7165 1.57169 1.57163 -10.7828
56 1 9.4343 0.00040468 3.1435 -10.7818
6 1 7.86178 1.57199 1.57167 -10.7818
58 1 12.5798 0.000340003 3.14348 -10.7818
8 1 11.0072 1.57204 1.57168 -10.7817
60 1 15.7254 0.000107631 3.14345 -10.7825
10 1 14.1525 1.57191 1.57165 -10.782
150 1 6.28846 0.000197577 9.43421 -10.7806
12 1 17.2978 1.57166 1.57159 -10.783
446 1 14.152 11.0032 7.86477 -10.7597
14 1 20.4423 1.57158 1.5717 -10.7838
151 1 9.43369 0.000585781 9.43373 -10.7814
16 1 1.57165 4.71607 1.57154 -10.783
398 1 17.2995 11.0066 4.71441 -10.7795
18 1 4.71548 4.71524 1.57077 -10.7835
397 1 14.1544 11.0066 4.71392 -10.7723
20 1 7.8617 4.71574 1.57121 -10.7813
396 1 11.0076 11.0064 4.70394 -10.787
22 1 11.0073 4.71579 1.57133 -10.7811
395 1 7.85884 11.0065 4.71147 -10.7743
24 1 14.1528 4.71571 1.57125 -10.7815
195 1 17.3065 7.85608 11.007 -10.78
26 1 17.2986 4.71543 1.57094 -10.7833
345 1 4.71526 11.0069 1.57095 -10.7815
28 1 20.4423 4.71615 1.57158 -10.7829
184 1 4.71466 4.7145 11.007 -10.7792
30 1 1.57147 7.86141 1.57154 -10.782
194 1 14.1685 7.84475 11.007 -10.7933
32 1 4.7154 7.86111 1.57091 -10.7819
349 1 17.2981 11.0068 1.57137 -10.7811
34 1 7.86078 7.86047 1.5699 -10.7824
348 1 14.1533 11.0067 1.57101 -10.7795
36 1 11.0074 7.86081 1.57106 -10.7794
347 1 11.0072 11.0067 1.56945 -10.7819
38 1 14.1535 7.86057 1.57035 -10.7819
346 1 7.86071 11.0067 1.57051 -10.7802
40 1 17.2982 7.86128 1.5713 -10.7814
159 1 12.5814 3.1385 9.43305 -10.7815
42 1 20.442 7.86146 1.57165 -10.7819
158 1 9.43312 3.1403 9.43306 -10.78
164 1 6.28594 6.28631 9.43572 -10.7751
163 1 3.14238 6.28723 9.43411 -10.7797
162 1 0.000908146 6.28744 9.43392 -10.7816
161 1 18.872 3.14183 9.43388 -10.7822
160 1 15.7282 3.1397 9.43355 -10.7819
157 1 6.28796 3.14278 9.43443 -10.7791
192 1 7.8677 7.87517 11.007 -10.7329
51 1 1.57201 1.57132 4.7163 -10.7828
689 3 11.1586 10.5274 10.0966 0
53 1 4.71556 1.57076 4.71532 -10.7834
175 1 18.876 9.43225 9.43281 -10.7822
55 1 7.86151 1.5715 4.71548 -10.7815
174 1 15.745 9.42331 9.42775 -10.8036
57 1 11.0072 1.57157 4.71545 -10.7813
173 1 12.6848 9.3314 9.37332 -10.1269
59 1 14.153 1.57122 4.7154 -10.7818
172 1 9.34284 9.34056 9.30294 -10.098
61 1 17.2989 1.57069 4.71519 -10.7836
191 1 4.71289 7.85999 11.007 -10.7717
63 1 20.4427 1.5712 4.71617 -10.783
64 1 0.000151047 3.14331 3.1435 -10.7836
65 1 1.57092 4.71487 4.71503 -10.7838
66 1 3.14314 3.14275 3.14288 -10.784
67 1 4.71261 4.71222 4.71228 -10.7859
68 1 6.28869 3.14311 3.14296 -10.7823
69 1 7.86122 4.71406 4.71384 -10.7809
70 1 9.43449 3.14346 3.14317 -10.7812
71 1 11.0076 4.71432 4.71428 -10.7796
72 1 12.5801 3.14335 3.14317 -10.7813
73 1 14.154 4.71354 4.71379 -10.7817
74 1 15.7258 3.14297 3.14289 -10.7826
75 1 17.3015 4.71253 4.71265 -10.7856
