ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
690
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
15 1 0.000697568 3.14252 0.00119594 -10.789
2 1 1.5711 1.56962 1.57191 -10.7898
514 1 7.85318 10.9865 10.946 -10.8039
4 1 4.71542 1.56906 1.57045 -10.7881
446 1 14.1666 10.9885 7.84153 -10.775
6 1 7.86103 1.56924 1.57082 -10.7859
175 1 18.8782 9.43146 9.43296 -10.7824
8 1 11.0067 1.56967 1.57231 -10.7853
174 1 15.7588 9.4121 9.41062 -10.8066
10 1 14.1522 1.5701 1.57398 -10.7855
173 1 12.6226 9.40052 9.41759 -10.6724
12 1 17.2975 1.57031 1.57479 -10.7868
172 1 9.28256 9.26749 9.30012 -10.8969
14 1 20.4421 1.57018 1.57404 -10.7891
445 1 10.9707 10.9751 7.8339 -10.8278
16 1 1.57039 4.71376 1.57042 -10.7883
512 1 1.57077 11.006 11.0061 -10.7796
18 1 4.71306 4.71159 1.56715 -10.7894
447 1 17.3057 11.004 7.85614 -10.7821
20 1 7.85996 4.71182 1.56761 -10.7861
344 1 1.57106 11.0055 1.5714 -10.7857
22 1 11.0066 4.71238 1.56983 -10.785
23 1 12.5798 3.14197 0.00108882 -10.785
24 1 14.1526 4.71308 1.57232 -10.7851
515 1 10.7177 10.8004 10.573 -9.85736
26 1 17.2983 4.71339 1.57357 -10.7871
27 1 18.8714 3.14206 0.00322202 -10.7885
28 1 20.4422 4.71408 1.57264 -10.7878
349 1 17.299 11.0051 1.57458 -10.7845
30 1 1.57055 7.85952 1.57038 -10.7863
348 1 14.1527 11.0048 1.57287 -10.7824
32 1 4.71312 7.85853 1.56709 -10.7864
444 1 7.84279 11.0055 7.83543 -10.8009
34 1 7.85857 7.8572 1.56429 -10.7875
443 1 4.70499 11.0039 7.85136 -10.7797
36 1 11.0062 7.85753 1.56845 -10.7835
37 1 12.5802 6.28567 0.000795479 -10.7838
38 1 14.1526 7.85843 1.57218 -10.7841
39 1 15.727 6.28567 0.00378779 -10.7865
40 1 17.2987 7.85888 1.57302 -10.7855
516 1 14.2795 10.9842 10.9682 -10.3818
42 1 20.4423 7.85952 1.57265 -10.786
158 1 9.43259 3.1369 9.43164 -10.7807
442 1 1.56752 11.0052 7.85867 -10.7839
398 1 17.2991 11.004 4.71443 -10.7832
397 1 14.152 11.0015 4.71038 -10.7793
47 1 12.5804 9.43243 0.00156604 -10.7819
48 1 15.7272 9.43242 0.00372747 -10.7838
49 1 18.8722 9.43238 0.00327138 -10.7854
195 1 17.317 7.85098 11.0045 -10.7873
51 1 1.56943 1.56821 4.71525 -10.789
171 1 6.25788 9.4142 9.41054 -10.8046
53 1 4.71276 1.56638 4.7129 -10.7895
194 1 14.2116 7.81274 10.9606 -10.811
55 1 7.85989 1.56676 4.7137 -10.786
193 1 10.9783 7.86601 10.979 -10.7055
57 1 11.0064 1.56759 4.71534 -10.7848
192 1 7.813 7.81508 10.9886 -10.8282
59 1 14.1518 1.56829 4.71709 -10.7844
170 1 3.13462 9.43096 9.42949 -10.784
61 1 17.2968 1.56844 4.71754 -10.7859
169 1 22.013 9.43273 9.43364 -10.7837
63 1 20.4411 1.56852 4.7168 -10.7881
64 1 22.0123 3.14085 3.1434 -10.7891
65 1 1.56716 4.71123 4.7127 -10.7898
66 1 3.14007 3.13874 3.14016 -10.7907
67 1 4.70586 4.70466 4.70528 -10.7951
68 1 6.28611 3.13821 3.13944 -10.7881
69 1 7.85662 4.70575 4.70692 -10.7881
70 1 9.43323 3.139 3.141 -10.7855
71 1 11.0061 4.70832 4.71053 -10.7849
72 1 12.5795 3.13994 3.14314 -10.7852
73 1 14.1528 4.71019 4.71346 -10.7847
74 1 15.7249 3.1406 3.14468 -10.7857
75 1 17.2991 4.71046 4.71372 -10.7882
