ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
689
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
175 1 18.8673 9.43495 9.43501 1.82785
2 1 1.57361 1.57281 1.57277 1.82867
15 1 0.00132012 3.14503 0.000497844 1.82874
4 1 4.71839 1.5727 1.57272 1.82822
3 1 3.146 0.000282859 0.000292334 1.82849
6 1 7.86318 1.57267 1.57267 1.82832
447 1 17.2953 11.0067 7.86344 1.82214
8 1 11.008 1.57257 1.5726 1.8284
446 1 14.1512 11.0064 7.8548 1.7963
10 1 14.1529 1.57261 1.57262 1.82839
444 1 7.86282 11.0067 7.8576 1.78846
12 1 17.298 1.57267 1.57262 1.82844
443 1 4.71811 11.0067 7.86265 1.82513
14 1 20.4429 1.57276 1.57274 1.82887
19 1 6.29076 3.14489 0.000408593 1.82826
16 1 1.57352 4.71747 1.57289 1.82858
17 1 3.14582 3.14488 0.000514947 1.82881
18 1 4.71807 4.71718 1.57281 1.82881
195 1 17.2954 7.86336 11.0068 1.82203
20 1 7.86317 4.71729 1.57285 1.82804
7 1 9.43558 0.000202124 0.000220235 1.82861
22 1 11.008 4.7172 1.57276 1.82807
192 1 7.86298 7.85776 11.0064 1.7888
24 1 14.1529 4.71715 1.57278 1.82811
191 1 4.71821 7.86262 11.0067 1.82519
26 1 17.2984 4.717 1.57273 1.82918
27 1 18.8707 3.14475 0.000561613 1.8291
28 1 20.4429 4.71748 1.5729 1.82865
29 1 0.00130704 6.28981 0.000443503 1.82871
30 1 1.57345 7.86222 1.57275 1.82854
5 1 6.29076 0.000257129 0.00024434 1.82853
32 1 4.71785 7.86201 1.57256 1.82858
33 1 6.2902 6.28922 0.000429509 1.82909
34 1 7.86233 7.86139 1.57187 1.82941
35 1 9.43543 6.2893 0.000205866 1.82868
36 1 11.0079 7.86155 1.57201 1.82933
37 1 12.5805 6.28922 0.000263844 1.82874
38 1 14.1538 7.86124 1.57172 1.82952
39 1 15.7261 6.28902 0.00056763 1.82936
40 1 17.2985 7.86189 1.57255 1.8289
1 1 0.00134504 0.000323161 0.00030158 1.8289
42 1 20.4429 7.86221 1.57282 1.82853
43 1 0.00126588 9.43468 0.000286237 1.8287
44 1 3.14559 9.4346 0.00022283 1.82858
50 1 0.00133242 0.00051528 3.14499 1.82883
48 1 15.7262 9.43429 0.00014718 1.82904
686 2 11.69 10.9141 10.9143 -0.913107
54 1 6.29079 0.000387956 3.14493 1.82823
56 1 9.4356 0.000366519 3.14481 1.82826
174 1 15.7125 9.43809 9.43811 1.81392
51 1 1.5735 1.57287 4.71749 1.82863
52 1 3.14582 0.000514888 3.14486 1.82879
53 1 4.71809 1.57279 4.71723 1.82883
173 1 12.5923 9.42333 9.42326 1.66354
55 1 7.86319 1.57277 4.71732 1.82804
172 1 9.43131 9.43512 9.43512 1.6138
57 1 11.008 1.57272 4.71726 1.82813
171 1 6.29677 9.43595 9.43584 1.8305
59 1 14.153 1.57275 4.71717 1.82817
170 1 3.14589 9.4346 9.43462 1.82879
61 1 17.2984 1.57271 4.71695 1.82917
62 1 18.8707 0.000581208 3.14469 1.82912
63 1 20.4429 1.57292 4.71741 1.8287
64 1 0.0012573 3.14529 3.14528 1.82833
65 1 1.57354 4.71776 4.7178 1.82792
66 1 3.14589 3.1452 3.14522 1.82833
67 1 4.71833 4.7176 4.7177 1.828
68 1 6.29083 3.1451 3.14516 1.82762
69 1 7.86365 4.71785 4.71794 1.82533
70 1 9.43563 3.14507 3.14515 1.82804
71 1 11.0079 4.71759 4.71767 1.82712
72 1 12.5804 3.14502 3.14505 1.82802
73 1 14.1525 4.71757 4.71759 1.82547
74 1 15.7254 3.14499 3.14499 1.82783
75 1 17.2981 4.71732 4.71732 1.82875
76 1 18.8706 3.14512 3.14508 1.82875
77 1 20.4427 4.71779 4.71777 1.82786
