ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
698
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
512 1 1.56152 11.0042 11.0034 1.83742
2 1 1.57233 1.56912 1.57056 1.85687
448 1 20.4453 11.005 7.85746 1.83756
4 1 4.71537 1.56838 1.56662 1.85125
447 1 17.3181 11.004 7.84639 1.84671
6 1 7.86119 1.56868 1.56578 1.84686
175 1 18.8786 9.43014 9.43188 1.81795
8 1 11.0075 1.5693 1.56762 1.84579
174 1 15.769 9.39238 9.37815 1.86765
10 1 14.1539 1.56978 1.57104 1.84653
446 1 14.1914 10.9891 7.8274 1.70153
12 1 17.3005 1.56974 1.57399 1.84964
445 1 10.9843 10.9963 7.66812 1.86183
14 1 20.4452 1.56955 1.57453 1.85483
444 1 7.91055 10.9982 7.92354 1.67959
16 1 1.57201 4.71259 1.57068 1.84974
11 1 15.7281 0.000623418 0.00362693 1.84828
18 1 4.71257 4.70962 1.56456 1.85084
443 1 4.7071 11.0031 7.85075 1.83686
20 1 7.85977 4.71 1.56263 1.84475
442 1 1.56533 11.0045 7.85513 1.84095
22 1 11.0071 4.71085 1.56451 1.84316
399 1 20.4451 11.0049 4.7129 1.84395
24 1 14.1544 4.71128 1.56926 1.84407
398 1 17.3065 11.0044 4.70587 1.84561
26 1 17.3022 4.71118 1.57439 1.84821
27 1 18.8767 3.13892 0.00730645 1.85405
28 1 20.4458 4.71246 1.5741 1.85036
515 1 10.4002 10.9882 10.1945 3.72584
30 1 1.57276 7.8587 1.57134 1.84647
31 1 3.14433 6.28508 0.00014301 1.84684
32 1 4.71436 7.85853 1.56792 1.84231
394 1 4.70788 11.0041 4.70668 1.84259
34 1 7.85906 7.85716 1.56189 1.83579
393 1 1.56902 11.0047 4.71166 1.84369
36 1 11.0063 7.85757 1.56238 1.8351
13 1 18.8755 0.000378421 0.00558787 1.85403
38 1 14.1546 7.85786 1.56723 1.83783
39 1 15.7307 6.28331 0.00708751 1.84274
40 1 17.3028 7.85789 1.57299 1.84385
41 1 18.8774 6.28414 0.00718156 1.84879
42 1 20.4463 7.85849 1.57389 1.84698
344 1 1.57342 11.005 1.57159 1.84572
44 1 3.14483 9.43176 0.000579249 1.84484
349 1 17.3035 11.0054 1.57198 1.84293
350 1 20.447 11.0052 1.57393 1.84637
188 1 17.3072 4.70285 11.0024 1.84529
48 1 15.7312 9.43169 0.00427199 1.83932
49 1 18.8778 9.43185 0.00629374 1.84634
173 1 12.546 9.38084 9.28624 1.84333
51 1 1.56787 1.56776 4.71216 1.85271
172 1 9.26756 9.04512 9.33336 2.45456
53 1 4.70967 1.56476 4.70709 1.85318
171 1 6.22907 9.3803 9.39573 1.87334
55 1 7.85812 1.56473 4.70658 1.84728
187 1 14.1565 4.70572 11.0022 1.81542
57 1 11.0069 1.56636 4.70851 1.8451
170 1 3.12179 9.42535 9.42344 1.83693
59 1 14.1539 1.5678 4.7118 1.84476
9 1 12.5809 0.000197725 4.27911e-05 1.84626
61 1 17.2992 1.5688 4.71443 1.84728
15 1 0.00452192 3.1405 0.00334764 1.85432
63 1 20.4419 1.5688 4.71498 1.85051
64 1 22.0132 3.13983 3.14229 1.85306
65 1 1.56472 4.70886 4.70964 1.8524
66 1 3.13846 3.1369 3.13648 1.85814
67 1 4.69973 4.69894 4.69756 1.87296
68 1 6.2841 3.1354 3.13313 1.85086
69 1 7.85163 4.69781 4.69634 1.85336
70 1 9.43285 3.13663 3.1342 1.84621
71 1 11.0058 4.70249 4.70019 1.84758
72 1 12.5807 3.13812 3.13737 1.8458
73 1 14.1568 4.7049 4.70429 1.84922
74 1 15.7278 3.13878 3.141 1.84799
75 1 17.3019 4.70849 4.71051 1.84821
76 1 18.8724 3.13971 3.14388 1.85015
77 1 20.4425 4.71054 4.71303 1.85025
