ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
694
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 0.00217751 0.000982353 0.00221607 1.85131
2 1 1.5709 1.57198 1.57168 1.84993
175 1 18.8724 9.43812 9.43287 1.81712
4 1 4.7145 1.57068 1.57035 1.84562
174 1 15.7494 9.42093 9.39891 1.9112
6 1 7.86039 1.57024 1.57054 1.84274
194 1 14.1927 7.8337 10.9292 1.88722
8 1 11.0069 1.57047 1.57167 1.842
193 1 11.0003 7.76452 10.9749 1.97344
10 1 14.1534 1.57117 1.57319 1.8425
173 1 12.586 9.41486 9.36332 1.79915
12 1 17.2994 1.57183 1.57423 1.84467
23 1 12.5803 3.14068 0.00357581 1.84225
14 1 20.4434 1.57241 1.57395 1.84815
25 1 15.7279 3.14122 0.00548075 1.84355
16 1 1.5711 4.71674 1.57253 1.84343
17 1 3.14203 3.142 0.00150333 1.84802
18 1 4.71214 4.71335 1.56995 1.84556
192 1 7.77618 7.7703 11.0041 2.08973
20 1 7.85912 4.71266 1.57004 1.84146
514 1 7.81613 10.9952 10.9061 1.78619
22 1 11.0066 4.71291 1.57133 1.84072
13 1 18.8729 0.000902217 0.00365829 1.84726
24 1 14.1541 4.71375 1.57344 1.84118
15 1 0.0017782 3.14386 0.00317382 1.84699
26 1 17.3011 4.71475 1.57553 1.84385
27 1 18.8744 3.14201 0.00620807 1.84804
28 1 20.444 4.71676 1.57448 1.84384
29 1 0.00242114 6.2893 0.00318726 1.84293
30 1 1.57251 7.86261 1.57266 1.84085
19 1 6.28666 3.14075 0.00116942 1.84371
32 1 4.71483 7.86236 1.57198 1.83744
33 1 6.28464 6.28511 0.00306701 1.84178
34 1 7.85847 7.85964 1.56948 1.83527
35 1 9.43273 6.28485 0.00262148 1.83829
36 1 11.006 7.85979 1.56967 1.83486
37 1 12.5806 6.28497 0.00443396 1.83859
38 1 14.1546 7.8602 1.57153 1.83755
39 1 15.73 6.2854 0.00850113 1.84138
40 1 17.3013 7.86167 1.57405 1.84006
21 1 9.43322 3.14047 0.00180678 1.84204
42 1 20.4448 7.86239 1.57392 1.84163
43 1 0.00331565 9.43508 0.00241381 1.84139
44 1 3.14448 9.43499 0.00120042 1.83941
31 1 3.14294 6.28866 0.00215041 1.84128
46 1 9.43281 9.43322 0.00219312 1.83183
47 1 12.5808 9.43323 0.00140644 1.83334
48 1 15.7294 9.43435 0.00439619 1.83738
3 1 3.14396 5.59139e-05 0.000284506 1.84746
50 1 22.0135 0.00210803 3.14278 1.84933
51 1 1.56823 1.57238 4.71352 1.84728
172 1 9.29416 9.09321 9.35424 2.45623
53 1 4.71095 1.56943 4.71077 1.84701
54 1 6.28699 0.000510468 3.14016 1.84381
55 1 7.85899 1.56929 4.7113 1.84249
56 1 9.43363 0.000464017 3.14088 1.84204
57 1 11.0068 1.57035 4.71253 1.84125
58 1 12.5801 0.000979789 3.14215 1.8418
59 1 14.1533 1.57171 4.71411 1.84082
60 1 15.726 0.00170739 3.14339 1.84251
61 1 17.2984 1.57312 4.71518 1.84266
171 1 6.24914 9.40084 9.41226 1.83814
63 1 20.4418 1.57361 4.71502 1.84612
64 1 22.0126 3.1445 3.14342 1.84654
65 1 1.56614 4.71499 4.71274 1.84558
66 1 3.13894 3.14154 3.1401 1.85113
67 1 4.70336 4.70648 4.70422 1.86309
68 1 6.285 3.14013 3.13928 1.84454
69 1 7.85544 4.70671 4.70579 1.84436
70 1 9.43292 3.14049 3.14043 1.84196
71 1 11.0066 4.70943 4.70821 1.843
72 1 12.5803 3.14163 3.14207 1.84185
73 1 14.1559 4.71134 4.70985 1.84464
74 1 15.727 3.14262 3.14354 1.8435
75 1 17.3007 4.71469 4.71325 1.8434
76 1 18.8714 3.14405 3.14469 1.84482
77 1 20.4418 4.71673 4.71504 1.84354
