ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
691
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
175 1 18.8707 9.43316 9.43317 1.83053
2 1 1.5717 1.57249 1.5725 1.82715
174 1 15.729 9.43034 9.43034 1.80098
4 1 4.71652 1.57245 1.57246 1.82723
173 1 12.5652 9.44788 9.44787 1.75702
6 1 7.86135 1.57245 1.57246 1.82736
172 1 9.44706 9.44788 9.44791 1.75702
8 1 11.0062 1.57246 1.57246 1.82739
171 1 6.28336 9.43035 9.43036 1.80099
10 1 14.151 1.57245 1.57246 1.82736
170 1 3.14159 9.43316 9.43317 1.83053
12 1 17.2958 1.57245 1.57246 1.82723
169 1 22.0131 9.43387 9.43388 1.82858
14 1 20.4406 1.57249 1.5725 1.82715
39 1 15.7239 6.28924 9.40621e-06 1.82841
16 1 1.57166 4.71731 1.57246 1.82723
691 2 12.2395 11.0069 11.0061 -0.190118
18 1 4.71638 4.71717 1.57255 1.82796
37 1 12.5787 6.2894 8.77688e-06 1.82788
20 1 7.86137 4.71725 1.57264 1.82729
35 1 9.43363 6.2894 7.70526e-06 1.82788
22 1 11.0062 4.71727 1.57258 1.82728
33 1 6.28845 6.28924 7.10432e-06 1.82841
24 1 14.1509 4.71725 1.57265 1.82729
25 1 15.7234 3.14485 8.71116e-06 1.82726
26 1 17.2959 4.71717 1.57256 1.82796
23 1 12.5786 3.14484 8.43556e-06 1.82733
28 1 20.4407 4.71731 1.57246 1.82723
147 1 18.8676 9.43471 6.28979 1.82725
30 1 1.57166 7.86214 1.57246 1.82736
146 1 15.7208 9.43691 6.29235 1.81544
32 1 4.71645 7.86216 1.57264 1.82729
145 1 12.5828 9.43035 6.28417 1.80099
34 1 7.86052 7.86132 1.5721 1.82899
144 1 9.42954 9.43034 6.28415 1.80098
36 1 11.0062 7.86163 1.5723 1.8286
143 1 6.29154 9.43691 6.29235 1.81544
38 1 14.1518 7.86132 1.57211 1.82899
142 1 3.14469 9.43471 6.28979 1.82725
40 1 17.2959 7.86216 1.57265 1.82729
141 1 22.0131 9.43442 6.28941 1.82788
42 1 20.4407 7.86214 1.57246 1.82736
140 1 20.441 7.86132 7.86133 1.82899
139 1 18.8681 6.28937 6.28938 1.82902
138 1 17.2964 7.86083 7.86084 1.83225
137 1 15.7216 6.29152 6.29153 1.82572
136 1 14.1469 7.86619 7.8662 1.82038
135 1 12.5762 6.29234 6.29235 1.81544
134 1 11.0062 7.87879 7.8788 1.6872
168 1 18.8676 6.28979 9.43472 1.82725
51 1 1.57166 1.57245 4.71732 1.82723
167 1 15.7208 6.29234 9.43692 1.81544
53 1 4.71638 1.57255 4.71718 1.82796
166 1 12.5828 6.28415 9.43035 1.80099
55 1 7.86137 1.57264 4.71725 1.82729
165 1 9.42955 6.28415 9.43035 1.80099
57 1 11.0062 1.57258 4.71727 1.82728
164 1 6.29154 6.29234 9.43692 1.81544
59 1 14.1509 1.57264 4.71725 1.82729
163 1 3.14469 6.28979 9.43472 1.82725
61 1 17.2959 1.57255 4.71718 1.82796
162 1 22.0131 6.2894 9.43443 1.82788
63 1 20.4407 1.57245 4.71732 1.82723
64 1 22.0131 3.14486 3.14487 1.8275
65 1 1.57175 4.71717 4.71718 1.82796
66 1 3.14427 3.14507 3.14508 1.8271
67 1 4.71716 4.71795 4.71796 1.8265
68 1 6.28903 3.145 3.14501 1.82687
69 1 7.86191 4.71793 4.71794 1.82479
70 1 9.43379 3.14498 3.14499 1.82732
71 1 11.0062 4.71769 4.7177 1.82663
72 1 12.5785 3.14498 3.14499 1.82732
73 1 14.1504 4.71793 4.71794 1.82479
74 1 15.7233 3.145 3.14501 1.82687
75 1 17.2952 4.71795 4.71796 1.8265
76 1 18.868 3.14507 3.14508 1.8271
77 1 20.4406 4.71717 4.71718 1.82796
