ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
691
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
446 1 14.1512 11.0062 7.86573 1.72482
2 1 1.57419 1.57302 1.57253 1.82778
35 1 9.43649 6.29009 7.37037e-05 1.82794
4 1 4.71908 1.57307 1.57248 1.8277
150 1 6.29135 0.00136539 9.43456 1.82798
6 1 7.86407 1.57316 1.5725 1.82767
168 1 18.8709 6.29016 9.4347 1.82728
8 1 11.009 1.57317 1.57252 1.82768
167 1 15.7258 6.29085 9.43524 1.82553
10 1 14.1538 1.57311 1.57254 1.82764
166 1 12.5819 6.293 9.43393 1.79882
12 1 17.2985 1.57303 1.57256 1.82757
165 1 9.43462 6.28949 9.43264 1.79187
14 1 20.4433 1.57296 1.57254 1.82764
444 1 7.87368 11.0033 7.87224 1.72766
16 1 1.57419 4.71779 1.57247 1.82776
153 1 15.7259 0.000293431 9.43474 1.82723
18 1 4.71889 4.71764 1.57243 1.82828
154 1 18.8707 0.000347993 9.43471 1.82734
20 1 7.86406 4.71778 1.5725 1.82766
45 1 6.29116 9.43499 7.37197e-05 1.82829
22 1 11.009 4.71785 1.57251 1.82773
46 1 9.43604 9.43472 7.37223e-05 1.82853
24 1 14.1538 4.71783 1.57258 1.82767
164 1 6.29419 6.29314 9.43697 1.81756
26 1 17.2986 4.7178 1.57255 1.82778
163 1 3.14716 6.29034 9.43475 1.82798
28 1 20.4434 4.7178 1.5725 1.82768
47 1 12.5819 9.43468 7.36937e-05 1.82874
30 1 1.57428 7.86273 1.57248 1.8277
156 1 3.14685 3.14567 9.43468 1.82756
32 1 4.71889 7.86262 1.57245 1.82797
162 1 0.00197186 6.29004 9.43455 1.82798
34 1 7.86342 7.8621 1.57199 1.82879
161 1 18.8708 3.14535 9.43468 1.82748
36 1 11.009 7.86247 1.57232 1.82833
174 1 15.7268 9.43353 9.43285 1.80279
38 1 14.1543 7.86228 1.57232 1.82868
173 1 12.5835 9.43604 9.434 1.71812
40 1 17.2988 7.86268 1.57251 1.82765
160 1 15.7259 3.14574 9.43483 1.82681
42 1 20.4435 7.8627 1.57248 1.82771
159 1 12.5819 3.1454 9.43398 1.82956
172 1 9.42696 9.43073 9.42624 1.7434
171 1 6.28493 9.4317 9.43161 1.84665
170 1 3.14491 9.43435 9.43387 1.82902
169 1 0.00209813 9.43479 9.43424 1.82825
158 1 9.43579 3.14525 9.43405 1.8289
157 1 6.29189 3.14665 9.43494 1.82711
50 1 0.00179552 0.00058082 3.14503 1.82753
51 1 1.57423 1.57302 4.71745 1.82751
52 1 3.14658 0.000719943 3.14491 1.82792
53 1 4.71896 1.57318 4.71723 1.82811
54 1 6.29157 0.000837189 3.14488 1.82761
55 1 7.8641 1.57336 4.71732 1.82752
56 1 9.43653 0.000869689 3.1449 1.82764
57 1 11.009 1.57334 4.71737 1.82759
58 1 12.5814 0.00079069 3.14495 1.82764
59 1 14.1537 1.57323 4.71743 1.8275
60 1 15.7261 0.000661172 3.14503 1.82756
61 1 17.2985 1.57299 4.71747 1.8276
62 1 18.8709 0.000560262 3.14506 1.82752
63 1 20.4433 1.57292 4.71748 1.8275
64 1 0.00177512 3.14532 3.14492 1.82785
65 1 1.57415 4.71764 4.71718 1.82827
66 1 3.14662 3.14544 3.14494 1.82795
67 1 4.71906 4.71785 4.71732 1.82842
68 1 6.29158 3.14549 3.1449 1.82754
69 1 7.86425 4.71804 4.71739 1.82666
70 1 9.43658 3.14561 3.14496 1.82763
71 1 11.009 4.71822 4.71749 1.82762
72 1 12.5814 3.1456 3.14501 1.82761
73 1 14.1536 4.71827 4.71769 1.82684
74 1 15.7261 3.14554 3.14507 1.82743
75 1 17.2985 4.71784 4.71742 1.82781
76 1 18.8709 3.14537 3.14498 1.82771
77 1 20.4433 4.71766 4.71727 1.82795
