ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
688
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
446 1 14.1437 11.0047 7.86777 1.83248
2 1 1.57228 1.57116 1.5725 1.82833
399 1 20.4415 11.0053 4.71725 1.8279
4 1 4.71699 1.57105 1.57252 1.82827
175 1 18.8686 9.4327 9.43434 1.82805
6 1 7.86194 1.57099 1.57259 1.82823
174 1 15.7213 9.43161 9.43363 1.83901
8 1 11.007 1.57096 1.5726 1.82825
173 1 12.587 9.4181 9.42937 1.65285
10 1 14.152 1.57099 1.57259 1.82823
393 1 1.57238 11.0053 4.71725 1.8279
12 1 17.2969 1.57105 1.57252 1.82827
172 1 9.42693 9.4181 9.42937 1.65285
14 1 20.4416 1.57116 1.5725 1.82833
15 1 22.0139 3.14348 0.000127404 1.82814
16 1 1.57231 4.71593 1.57262 1.82802
17 1 3.14454 3.14333 0.000244416 1.82845
18 1 4.71688 4.71563 1.57276 1.82853
19 1 6.2894 3.14317 0.000380129 1.82825
20 1 7.86192 4.71556 1.57291 1.82812
21 1 9.43442 3.14308 0.000470559 1.82826
22 1 11.007 4.71553 1.57293 1.82817
23 1 12.5795 3.14309 0.000470573 1.82826
24 1 14.152 4.71556 1.57291 1.82812
25 1 15.7245 3.14317 0.000380153 1.82825
26 1 17.297 4.71563 1.57276 1.82853
27 1 18.8694 3.14333 0.000244414 1.82845
28 1 20.4416 4.71593 1.57262 1.82802
29 1 22.0139 6.28826 0.000110707 1.82804
30 1 1.57233 7.86062 1.57255 1.82802
442 1 1.57254 11.0052 7.86204 1.82803
32 1 4.71697 7.86054 1.57276 1.82807
33 1 6.28905 6.28764 0.000627232 1.8288
34 1 7.86143 7.85998 1.5727 1.82885
35 1 9.43434 6.28764 0.000814105 1.82839
36 1 11.007 7.8602 1.57297 1.82847
37 1 12.5796 6.28764 0.000814099 1.82839
38 1 14.1525 7.85998 1.5727 1.82885
39 1 15.7249 6.28764 0.000627252 1.8288
40 1 17.2969 7.86054 1.57276 1.82807
31 1 3.1446 6.28818 0.000221235 1.82803
42 1 20.4416 7.86063 1.57255 1.82802
447 1 17.2954 11.0049 7.86243 1.82814
44 1 3.14461 9.43293 4.81329e-05 1.82803
516 1 14.1708 11.0018 11.0041 1.69812
46 1 9.43395 9.43238 0.000915153 1.82882
47 1 12.58 9.43238 0.000915146 1.82882
448 1 20.4414 11.0052 7.86204 1.82803
49 1 18.8693 9.43294 4.81459e-05 1.82803
171 1 6.29262 9.43161 9.43363 1.83901
51 1 1.57228 1.57124 4.71733 1.82822
514 1 7.84315 11.0018 11.0041 1.69812
53 1 4.71692 1.57121 4.71721 1.82852
170 1 3.14527 9.4327 9.43434 1.82805
55 1 7.86196 1.57115 4.71726 1.82807
517 1 17.2982 11.0046 11.0066 1.8268
57 1 11.007 1.5711 4.71725 1.82816
41 1 18.8693 6.28818 0.000221262 1.82803
59 1 14.1519 1.57115 4.71726 1.82807
169 1 3.32433e-08 9.43286 9.43452 1.82776
61 1 17.297 1.57121 4.71721 1.82852
445 1 11.007 11.0053 7.80862 1.82367
63 1 20.4416 1.57124 4.71733 1.82822
64 1 22.0139 3.14361 3.14499 1.82815
65 1 1.57237 4.71598 4.71748 1.82806
66 1 3.14466 3.14357 3.14505 1.8282
67 1 4.71717 4.71597 4.71758 1.82807
68 1 6.28947 3.1434 3.14503 1.82806
69 1 7.86209 4.71574 4.71756 1.82727
70 1 9.43448 3.14336 3.14509 1.82811
71 1 11.007 4.71583 4.71763 1.82784
72 1 12.5794 3.14336 3.14509 1.82811
73 1 14.1518 4.71574 4.71756 1.82727
74 1 15.7244 3.1434 3.14503 1.82806
75 1 17.2967 4.71597 4.71758 1.82807
76 1 18.8692 3.14357 3.14505 1.8282
77 1 20.4415 4.71598 4.71748 1.82806
