ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
693
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
446 1 14.1534 11.0065 7.86604 1.68435
2 1 1.5714 1.57265 1.57268 1.83145
691 2 12.0748 10.9653 10.2618 -0.257678
4 1 4.7155 1.57249 1.57232 1.83139
17 1 3.14357 3.14523 0.000623317 1.83076
6 1 7.86061 1.57229 1.57226 1.83093
27 1 18.8694 3.14482 0.0013097 1.83117
8 1 11.0062 1.57212 1.57244 1.8308
175 1 18.8751 9.43243 9.43369 1.82982
10 1 14.1519 1.57209 1.57266 1.83095
174 1 15.7448 9.42334 9.42721 1.79097
12 1 17.297 1.57224 1.57289 1.83122
29 1 22.0135 6.2903 0.000967331 1.8299
14 1 20.4415 1.57244 1.57292 1.83164
15 1 22.0135 3.14528 0.000973865 1.83081
16 1 1.57182 4.71784 1.57287 1.83015
445 1 11.0056 11.0069 7.85367 1.59848
18 1 4.7158 4.71736 1.57215 1.83056
37 1 12.5789 6.2893 0.00126214 1.82941
20 1 7.86071 4.71683 1.57194 1.83012
191 1 4.71531 7.86081 11.0067 1.82287
22 1 11.0063 4.71656 1.57229 1.83014
39 1 15.7244 6.2895 0.00185171 1.82981
24 1 14.1519 4.71665 1.5727 1.8304
25 1 15.7245 3.14453 0.00131088 1.83083
26 1 17.2971 4.71707 1.57298 1.83034
7 1 9.43335 0.000151556 0.00088759 1.83086
28 1 20.4416 4.7176 1.57301 1.83043
443 1 4.71948 11.0065 7.86602 1.8167
30 1 1.5719 7.86261 1.57308 1.82953
31 1 3.14399 6.29031 0.000595372 1.82967
32 1 4.71628 7.86244 1.57257 1.82939
1 1 22.0131 9.04746e-05 0.000995696 1.83174
34 1 7.86075 7.86183 1.57147 1.82929
397 1 14.1489 11.0067 4.72144 1.81876
36 1 11.0064 7.86178 1.57248 1.82856
396 1 11.0057 11.0069 4.71431 1.83025
38 1 14.1514 7.86205 1.57373 1.82858
5 1 6.28797 0.000236172 0.000736154 1.83108
40 1 17.2965 7.8624 1.57354 1.82906
41 1 18.8691 6.29003 0.00131919 1.82994
42 1 20.4413 7.86256 1.57325 1.82954
43 1 22.0133 9.43487 0.000981649 1.82949
44 1 3.14402 9.43483 0.000613894 1.82929
394 1 4.71633 11.0067 4.71812 1.82766
3 1 3.14322 0.000216637 0.000742215 1.83143
9 1 12.579 3.17448e-05 0.0011016 1.83086
48 1 15.7239 9.43471 0.00213966 1.82893
99 1 22.0133 6.45338e-05 6.28966 1.83107
173 1 12.6367 9.35236 9.37924 2.05188
51 1 1.57132 1.57245 4.71703 1.8312
52 1 3.14296 0.000206575 3.14443 1.83177
53 1 4.71479 1.57194 4.71613 1.83224
54 1 6.28757 0.000160345 3.14398 1.83159
55 1 7.85994 1.57136 4.71558 1.83188
172 1 9.38523 9.36868 9.3827 2.01759
57 1 11.0063 1.5712 4.71571 1.83152
153 1 15.7261 0.000397532 9.43453 1.83212
59 1 14.1526 1.57135 4.71591 1.83192
50 1 22.0133 7.43795e-05 3.14491 1.83145
61 1 17.2979 1.57166 4.71641 1.83197
171 1 6.3032 9.43515 9.44152 1.78732
63 1 20.4419 1.57219 4.71706 1.83142
64 1 22.0138 3.14495 3.14487 1.83106
65 1 1.57212 4.7174 4.71725 1.82996
66 1 3.14338 3.14484 3.14441 1.83143
67 1 4.71494 4.71621 4.71595 1.83229
68 1 6.28763 3.1441 3.1437 1.83153
69 1 7.85955 4.71442 4.71455 1.83218
70 1 9.43334 3.14378 3.14373 1.83076
71 1 11.0065 4.71429 4.71509 1.83075
72 1 12.5793 3.14371 3.14399 1.83076
73 1 14.1529 4.71492 4.71549 1.83195
74 1 15.7249 3.14409 3.14434 1.83124
75 1 17.2991 4.71506 4.71539 1.83452
76 1 18.87 3.14433 3.14454 1.83214
