ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
685
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 2.00718e-15 0 0 1.82472
2 1 1.57267 1.57267 1.57267 1.82489
3 1 3.14514 9.93415e-16 1.29089e-16 1.82514
4 1 4.71768 1.57271 1.57271 1.82531
5 1 6.29001 1.79486e-15 1.03836e-15 1.82544
6 1 7.8624 1.57274 1.57274 1.82559
7 1 9.43466 1.80612e-16 1.34245e-15 1.82564
8 1 11.007 1.57274 1.57274 1.8257
9 1 12.5792 4.99943e-16 8.21103e-16 1.82564
10 1 14.1515 1.57274 1.57274 1.82559
11 1 15.7239 0 1.46427e-15 1.82544
12 1 17.2962 1.57271 1.57271 1.82531
13 1 18.8688 2.37668e-15 0 1.82514
14 1 20.4412 1.57267 1.57267 1.82489
15 1 1.06454e-15 3.14514 2.35046e-15 1.82514
16 1 1.57271 4.71768 1.57271 1.82531
17 1 3.14528 3.14528 1.63096e-15 1.82516
18 1 4.71792 4.71792 1.57297 1.82547
19 1 6.29011 3.14535 1.25036e-15 1.82543
20 1 7.86256 4.718 1.573 1.82556
21 1 9.4347 3.14538 1.55473e-15 1.82569
22 1 11.007 4.71803 1.57298 1.82581
23 1 12.5792 3.14538 1.45666e-15 1.82569
24 1 14.1513 4.718 1.573 1.82556
25 1 15.7238 3.14535 9.59933e-16 1.82543
26 1 17.296 4.71792 1.57297 1.82547
27 1 18.8686 3.14528 1.77169e-15 1.82516
28 1 20.4412 4.71768 1.57271 1.82531
29 1 0 6.29001 0 1.82544
30 1 1.57274 7.8624 1.57274 1.82559
31 1 3.14535 6.29011 6.57293e-16 1.82543
32 1 4.718 7.86256 1.573 1.82556
33 1 6.29018 6.29018 2.43668e-15 1.82607
34 1 7.86245 7.86245 1.5732 1.82668
35 1 9.43477 6.29033 2.135e-15 1.82598
36 1 11.007 7.8627 1.57334 1.82656
37 1 12.5791 6.29033 1.84695e-15 1.82598
38 1 14.1515 7.86245 1.5732 1.82668
39 1 15.7237 6.29018 2.40187e-15 1.82607
40 1 17.2959 7.86256 1.573 1.82556
41 1 18.8686 6.29011 0 1.82543
42 1 20.4412 7.8624 1.57274 1.82559
43 1 2.61188e-15 9.43466 1.73554e-15 1.82564
44 1 3.14538 9.4347 1.30459e-15 1.82569
45 1 6.29033 9.43477 1.37634e-15 1.82598
46 1 9.4346 9.4346 5.00411e-17 1.82654
47 1 12.5793 9.4346 0 1.82654
48 1 15.7236 9.43477 1.544e-15 1.82598
49 1 18.8685 9.4347 2.21791e-15 1.82569
50 1 7.18404e-16 2.11025e-15 3.14514 1.82514
51 1 1.57271 1.57271 4.71768 1.82531
52 1 3.14528 1.95792e-15 3.14528 1.82516
53 1 4.71792 1.57297 4.71792 1.82547
54 1 6.29011 1.28922e-15 3.14535 1.82543
55 1 7.86256 1.573 4.718 1.82556
56 1 9.4347 4.74066e-16 3.14538 1.82569
57 1 11.007 1.57298 4.71803 1.82581
58 1 12.5792 1.96196e-15 3.14538 1.82569
59 1 14.1513 1.573 4.718 1.82556
60 1 15.7238 0 3.14535 1.82543
61 1 17.296 1.57297 4.71792 1.82547
62 1 18.8686 1.67648e-15 3.14528 1.82516
63 1 20.4412 1.57271 4.71768 1.82531
64 1 0 3.14528 3.14528 1.82516
65 1 1.57297 4.71792 4.71792 1.82547
66 1 3.14551 3.14551 3.14551 1.82472
67 1 4.71893 4.71893 4.71893 1.82332
68 1 6.29028 3.14557 3.14557 1.8254
69 1 7.86303 4.71881 4.71881 1.82485
70 1 9.43478 3.14561 3.14561 1.8258
71 1 11.007 4.71884 4.71884 1.82606
72 1 12.5791 3.14561 3.14561 1.8258
73 1 14.1509 4.71881 4.71881 1.82485
74 1 15.7236 3.14557 3.14557 1.8254
75 1 17.295 4.71893 4.71893 1.82332
