ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
695
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
445 1 11.0315 10.9956 7.74951 1.83566
2 1 1.5683 1.57176 1.57051 1.84276
444 1 7.88062 11.0032 7.88675 1.64398
4 1 4.71216 1.57101 1.5696 1.8406
43 1 22.0122 9.43546 0.00119064 1.83711
6 1 7.85848 1.57084 1.56889 1.83886
690 3 11.3067 9.93516 10.8171 1.3977
8 1 11.0058 1.57106 1.56846 1.83851
175 1 18.8741 9.43441 9.43289 1.82937
10 1 14.1528 1.57151 1.56866 1.83921
174 1 15.7405 9.4244 9.42418 1.71166
12 1 17.2985 1.57188 1.56938 1.84145
29 1 22.012 6.28987 0.000549501 1.83809
14 1 20.4411 1.57238 1.57064 1.84229
694 3 9.66742 10.3787 10.9446 1.43547
16 1 1.56868 4.71662 1.57115 1.83874
689 2 12.2152 10.407 10.9156 -0.843618
18 1 4.71082 4.71421 1.56835 1.83993
44 1 3.14066 9.43521 0.00225352 1.83657
20 1 7.85755 4.713 1.56691 1.83914
196 1 20.4427 7.86219 11.0068 1.83219
22 1 11.006 4.71299 1.56635 1.83864
56 1 9.43212 0.000601014 3.14015 1.83837
24 1 14.1541 4.7136 1.56629 1.83888
60 1 15.7263 0.00135438 3.14066 1.83977
26 1 17.3 4.71491 1.56826 1.84089
688 2 11.799 10.9496 10.0211 -1.02846
28 1 20.4417 4.71692 1.57085 1.83909
176 1 1.56861 1.5726 11.0069 1.83676
30 1 1.56962 7.86268 1.57245 1.8368
31 1 3.14022 6.28917 0.00112333 1.83731
32 1 4.71294 7.86244 1.57164 1.83411
149 1 3.14017 0.00136861 9.434 1.8367
34 1 7.85826 7.8606 1.56767 1.83235
178 1 7.85813 1.5718 11.0061 1.83269
36 1 11.0051 7.86007 1.5656 1.83247
99 1 22.0118 0.00122239 6.28867 1.83773
38 1 14.1544 7.86018 1.5652 1.83558
186 1 11.0013 4.71221 11.0032 1.80766
40 1 17.2997 7.86171 1.56901 1.83756
111 1 18.87 0.00157916 6.28798 1.8377
42 1 20.4418 7.86264 1.57154 1.83731
148 1 22.0116 0.0015116 9.43409 1.83683
167 1 15.7351 6.28037 9.43149 1.83359
45 1 6.28573 9.43532 0.00269856 1.83311
46 1 9.43164 9.43482 0.000316987 1.83357
166 1 12.5922 6.28117 9.42147 1.82978
165 1 9.41291 6.28045 9.40208 1.86352
154 1 18.8695 0.00188368 9.43375 1.8366
50 1 22.0117 0.000982808 3.14335 1.84022
51 1 1.5684 1.5718 4.71532 1.83885
52 1 3.13959 0.000435399 3.14192 1.84114
53 1 4.71043 1.56896 4.71249 1.84076
54 1 6.28497 0.000313121 3.14089 1.83937
55 1 7.85772 1.56877 4.71139 1.83861
173 1 12.6645 9.25887 9.28018 2.55084
57 1 11.0062 1.56933 4.71098 1.83838
185 1 7.85764 4.715 11.0051 1.81661
59 1 14.1542 1.56985 4.71156 1.83847
172 1 9.363 9.15912 9.17556 2.32311
61 1 17.2995 1.57137 4.71341 1.8394
62 1 18.8704 0.00138728 3.14229 1.8408
63 1 20.4413 1.57243 4.71553 1.83874
64 1 22.0117 3.14379 3.14253 1.84056
65 1 1.56666 4.71476 4.71368 1.83978
66 1 3.13765 3.14115 3.13998 1.84587
67 1 4.70279 4.70585 4.70479 1.86055
68 1 6.28327 3.13984 3.13828 1.84195
69 1 7.85378 4.70485 4.70333 1.84698
70 1 9.43185 3.13973 3.13773 1.83938
71 1 11.0073 4.70596 4.70396 1.84312
72 1 12.5805 3.1403 3.1377 1.83979
73 1 14.161 4.7052 4.70281 1.85293
74 1 15.7285 3.14065 3.13821 1.84364
75 1 17.3051 4.71054 4.70844 1.84898
76 1 18.8718 3.14284 3.14093 1.84281
77 1 20.4428 4.71573 4.71424 1.83867
