ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
692
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 0.000879808 0.00105266 0.00515298 1.8496
2 1 1.56834 1.56875 1.5737 1.85148
515 1 10.5323 10.5642 10.4266 3.98795
4 1 4.71287 1.56652 1.57301 1.84595
175 1 18.8791 9.4392 9.43624 1.81736
6 1 7.85998 1.56768 1.57388 1.84234
174 1 15.7694 9.41673 9.40262 1.91476
8 1 11.0069 1.57056 1.57527 1.84124
173 1 12.6642 9.40023 9.37032 2.16043
10 1 14.1528 1.5733 1.57641 1.84116
172 1 9.12929 9.11973 9.18133 3.00721
12 1 17.2978 1.57427 1.57674 1.84238
171 1 6.27352 9.39298 9.40272 1.82677
14 1 20.4413 1.57276 1.57599 1.84662
15 1 22.0118 3.14341 0.00419897 1.84637
16 1 1.5662 4.71347 1.5732 1.84568
17 1 3.13882 3.13919 0.00232307 1.84832
18 1 4.7076 4.70813 1.56883 1.84789
514 1 7.85077 10.9518 10.9563 1.80556
20 1 7.85751 4.70922 1.57162 1.84223
345 1 4.71264 11.0064 1.5749 1.83936
22 1 11.0059 4.71278 1.57494 1.83981
445 1 10.9822 10.9879 7.82747 1.80844
24 1 14.1521 4.71607 1.57681 1.83884
194 1 14.1881 7.85261 10.9843 1.89631
26 1 17.2975 4.71694 1.57648 1.84098
27 1 18.8702 3.1449 0.00606403 1.84428
28 1 20.4399 4.71654 1.57543 1.84283
19 1 6.28486 3.13808 0.00333665 1.84417
30 1 1.56747 7.86059 1.57413 1.84204
193 1 10.9517 7.85687 10.9596 1.77607
32 1 4.70899 7.85824 1.57173 1.84177
33 1 6.28186 6.28237 0.00418728 1.84257
34 1 7.85591 7.85651 1.57228 1.83658
35 1 9.43122 6.28382 0.00698917 1.83884
36 1 11.0045 7.85914 1.57641 1.83405
37 1 12.5791 6.28646 0.00807984 1.83807
38 1 14.1519 7.86161 1.57559 1.8348
39 1 15.7257 6.28851 0.00762254 1.83835
40 1 17.2975 7.86268 1.57536 1.83752
41 1 18.8696 6.28954 0.00558618 1.84012
42 1 20.4406 7.86202 1.57536 1.84068
23 1 12.5796 3.14269 0.0060127 1.84059
163 1 3.1306 6.2797 9.43464 1.83724
45 1 6.28364 9.43191 0.00675426 1.83847
46 1 9.43162 9.43225 0.0093285 1.83294
47 1 12.5789 9.43421 0.00649358 1.83246
48 1 15.7255 9.43574 0.00541139 1.83463
49 1 18.8708 9.43509 0.00538256 1.83898
50 1 22.0137 0.000294645 3.14708 1.84686
51 1 1.56746 1.56818 4.7178 1.84539
513 1 4.71751 10.9957 11.0021 1.79815
53 1 4.70911 1.5616 4.71382 1.84722
170 1 3.13898 9.42796 9.43221 1.82656
55 1 7.85887 1.56491 4.71495 1.8416
169 1 0.000381579 9.43537 9.43697 1.8319
57 1 11.0068 1.57058 4.71705 1.83952
168 1 18.8725 6.28955 9.43651 1.8345
59 1 14.1526 1.5748 4.71885 1.83841
167 1 15.7356 6.28044 9.42882 1.8426
61 1 17.298 1.57525 4.71904 1.84066
62 1 18.8712 0.00352652 3.14729 1.84404
63 1 20.4411 1.57303 4.719 1.84384
64 1 22.0094 3.14185 3.14539 1.8469
65 1 1.56089 4.70991 4.71404 1.84698
66 1 3.13347 3.13408 3.13959 1.85966
67 1 4.69077 4.69148 4.69701 1.89194
68 1 6.28269 3.13405 3.1402 1.84633
69 1 7.85343 4.69911 4.70445 1.84916
70 1 9.43287 3.13812 3.14329 1.84279
71 1 11.0073 4.70867 4.71199 1.84612
72 1 12.5801 3.14267 3.14601 1.84168
73 1 14.1532 4.71493 4.71653 1.83909
74 1 15.7251 3.1452 3.14735 1.84055
75 1 17.2991 4.71538 4.71639 1.8441
76 1 18.8691 3.14474 3.14694 1.8438
77 1 20.4394 4.71518 4.71739 1.84366
