ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
688
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 0.0012063 0.00145876 0.0011619 1.8276
2 1 1.57411 1.57433 1.57421 1.82785
3 1 3.14611 0.00162605 0.00186208 1.82784
4 1 4.71901 1.57459 1.57481 1.82765
5 1 6.29112 0.00165416 0.00204836 1.8276
6 1 7.86392 1.57475 1.57486 1.82745
7 1 9.43601 0.00145008 0.00158556 1.82748
8 1 11.0086 1.57466 1.57439 1.82748
9 1 12.5807 0.00120865 0.000896859 1.82741
10 1 14.1533 1.57442 1.57373 1.82749
11 1 15.7253 0.00108859 0.000445011 1.82729
12 1 17.2981 1.57421 1.57333 1.8275
13 1 18.8702 0.00121236 0.000556274 1.82739
14 1 20.4431 1.57418 1.57354 1.82774
15 1 0.00137625 3.14636 0.00182501 1.82792
16 1 1.57437 4.71925 1.57484 1.8277
446 1 14.1595 11.0062 7.86612 1.87135
18 1 4.7192 4.71946 1.57605 1.82788
516 1 14.2456 10.9796 10.9811 1.75042
20 1 7.86426 4.71981 1.57654 1.82695
58 1 12.581 0.0027217 3.14561 1.82767
22 1 11.0088 4.71977 1.57602 1.82717
56 1 9.43628 0.00289942 3.14625 1.82762
24 1 14.1533 4.71949 1.57495 1.82714
194 1 14.1581 7.86514 11.0055 1.87009
26 1 17.2981 4.71918 1.57406 1.82732
54 1 6.29151 0.00277927 3.1466 1.82759
28 1 20.4433 4.71903 1.57389 1.82781
29 1 0.00137353 6.29138 0.00205766 1.82769
30 1 1.57452 7.86419 1.57502 1.82748
52 1 3.1467 0.0023586 3.14644 1.82794
32 1 4.71952 7.86453 1.57678 1.82702
60 1 15.7259 0.00239568 3.14512 1.82765
34 1 7.86401 7.86431 1.57778 1.82751
35 1 9.43608 6.29125 0.00456758 1.82749
36 1 11.0089 7.86459 1.57715 1.82708
37 1 12.5808 6.29122 0.00332723 1.82747
38 1 14.1533 7.8642 1.57499 1.82717
39 1 15.7255 6.29124 0.00199071 1.82729
40 1 17.2983 7.86385 1.57337 1.82744
41 1 18.8704 6.29127 0.00136246 1.82753
42 1 20.4434 7.86393 1.57366 1.82758
43 1 0.00112929 9.4363 0.00168896 1.82753
62 1 18.8709 0.00217958 3.14516 1.82793
45 1 6.29074 9.43636 0.00498038 1.82768
101 1 3.14687 0.00291198 6.29119 1.82766
47 1 12.5805 9.43589 0.00248902 1.82739
48 1 15.7252 9.43598 0.000592593 1.82708
49 1 18.87 9.43622 0.000431994 1.82711
50 1 0.00190539 0.0020807 3.1458 1.82803
51 1 1.57474 1.57489 4.71885 1.82772
685 3 10.805 10.7465 10.9441 0.747978
53 1 4.71944 1.57562 4.7193 1.82797
175 1 18.877 9.43347 9.43264 1.83291
55 1 7.86435 1.57623 4.71951 1.8272
174 1 15.7379 9.42628 9.42587 1.90193
57 1 11.0089 1.57618 4.7191 1.82745
173 1 12.5929 9.45493 9.45569 1.68854
59 1 14.1536 1.57565 4.7184 1.82751
172 1 9.43706 9.43688 9.43812 1.80079
61 1 17.2987 1.575 4.71793 1.82787
171 1 6.29706 9.43762 9.4385 1.83995
63 1 20.4438 1.57457 4.71811 1.82815
64 1 0.00221282 3.1469 3.14639 1.82797
65 1 1.5755 4.71971 4.71935 1.82785
66 1 3.14719 3.14741 3.14735 1.82762
67 1 4.72068 4.7209 4.72082 1.82667
68 1 6.29212 3.14795 3.14797 1.82692
69 1 7.86562 4.72185 4.72171 1.82491
70 1 9.43677 3.1482 3.14799 1.82703
71 1 11.0096 4.72184 4.7215 1.82627
72 1 12.5812 3.1479 3.14727 1.82724
73 1 14.1535 4.72089 4.72004 1.82614
74 1 15.7259 3.14736 3.14639 1.82725
75 1 17.2985 4.71979 4.7188 1.82657
76 1 18.8709 3.14694 3.14602 1.82745
