ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
695
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
15 1 22.0107 3.1385 0.00442739 1.84212
2 1 1.56793 1.5649 1.57481 1.84487
19 1 6.28435 3.13581 0.00265448 1.83951
4 1 4.71184 1.56388 1.57353 1.84152
175 1 18.8786 9.42751 9.43653 1.81906
6 1 7.85795 1.56499 1.57374 1.83875
174 1 15.7721 9.3893 9.39997 1.86284
8 1 11.0042 1.56687 1.57475 1.83788
173 1 12.6311 9.38782 9.42587 1.93569
10 1 14.1501 1.56845 1.57597 1.8379
172 1 9.23754 9.22677 9.23807 2.48754
12 1 17.2953 1.5687 1.57667 1.83899
446 1 14.1749 10.9925 7.85351 1.7063
14 1 20.4396 1.56728 1.57639 1.84202
346 1 7.85602 11.0001 1.57346 1.83351
16 1 1.56598 4.70917 1.574 1.84108
17 1 3.1389 3.13603 0.00266399 1.84286
18 1 4.70857 4.70607 1.57063 1.84268
194 1 14.1992 7.82175 10.9872 1.78385
20 1 7.85676 4.70736 1.57196 1.83777
193 1 10.9522 7.84873 10.9757 1.64166
22 1 11.004 4.70959 1.57417 1.83669
399 1 20.4399 11.0017 4.71879 1.83561
24 1 14.1494 4.71168 1.57597 1.83564
514 1 7.84939 10.9489 10.9685 1.67362
26 1 17.2942 4.71217 1.57635 1.83612
27 1 18.8676 3.1398 0.00579029 1.83968
28 1 20.4381 4.71112 1.57542 1.83913
516 1 14.4251 10.9577 11.0013 2.39925
30 1 1.56597 7.8552 1.57462 1.83832
515 1 10.6169 10.6267 10.6549 3.8911
32 1 4.70858 7.85345 1.57207 1.83895
33 1 6.28244 6.27989 0.00220423 1.83769
34 1 7.85559 7.85317 1.56953 1.83349
35 1 9.43041 6.28138 0.00392345 1.83522
36 1 11.0034 7.85556 1.57467 1.83122
37 1 12.5765 6.28316 0.00543123 1.83429
38 1 14.1482 7.85746 1.57588 1.83089
39 1 15.7216 6.2845 0.00599203 1.83363
40 1 17.2936 7.85728 1.57522 1.83317
393 1 1.56661 11.0012 4.71837 1.8366
42 1 20.4376 7.8564 1.57552 1.83681
349 1 17.2946 11.0021 1.57505 1.83363
394 1 4.70662 11.0011 4.71418 1.83976
45 1 6.28234 9.42698 0.00417848 1.83681
46 1 9.43107 9.42887 0.00361473 1.82997
47 1 12.5761 9.43016 0.00339779 1.82914
48 1 15.721 9.4305 0.00396015 1.83043
49 1 18.8665 9.42935 0.00472075 1.8351
171 1 6.2647 9.39921 9.41164 1.83776
51 1 1.56728 1.56348 4.71851 1.8412
395 1 7.85074 10.9976 4.70996 1.82926
53 1 4.70931 1.56033 4.71565 1.84265
170 1 3.13526 9.42406 9.4347 1.82892
55 1 7.85681 1.56267 4.71586 1.83872
169 1 22.0121 9.42832 9.43779 1.83042
57 1 11.0043 1.56615 4.71711 1.83755
168 1 18.8749 6.27712 9.43469 1.83964
59 1 14.1502 1.56844 4.71868 1.83667
167 1 15.7377 6.26345 9.4264 1.85139
61 1 17.2956 1.56817 4.71921 1.83777
398 1 17.2975 11.0021 4.71573 1.83563
63 1 20.4396 1.5659 4.71925 1.84042
64 1 22.0092 3.13687 3.14618 1.84231
65 1 1.56321 4.70616 4.71574 1.84258
66 1 3.13586 3.13301 3.14281 1.84819
67 1 4.69959 4.69667 4.70641 1.86378
68 1 6.28245 3.13296 3.14226 1.84105
69 1 7.85324 4.7 4.70915 1.84102
70 1 9.43075 3.13578 3.14406 1.83799
71 1 11.0045 4.70624 4.71431 1.8389
72 1 12.5772 3.13851 3.14611 1.83765
73 1 14.1505 4.70968 4.71721 1.83726
74 1 15.7224 3.13981 3.14724 1.83757
75 1 17.2958 4.70953 4.71711 1.83776
76 1 18.867 3.13891 3.14706 1.83936
77 1 20.4387 4.70874 4.71732 1.84126
