ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
687
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
1 1 0.000514771 0.000514771 0.000514771 1.82635
2 1 1.57303 1.57303 1.57303 1.82667
687 3 10.8825 10.8825 10.8825 0.612606
4 1 4.71799 1.57303 1.57303 1.82669
5 1 6.29044 0.000551202 0.000551202 1.82666
6 1 7.86283 1.57305 1.57305 1.82677
175 1 18.8704 9.43464 9.43464 1.82866
8 1 11.0076 1.57306 1.57306 1.82681
174 1 15.7259 9.43224 9.43224 1.85067
10 1 14.1523 1.57307 1.57307 1.82671
173 1 12.5854 9.42668 9.42668 1.66742
12 1 17.297 1.57305 1.57305 1.82656
172 1 9.43913 9.43913 9.43913 1.70977
14 1 20.4419 1.57304 1.57304 1.82649
514 1 7.83867 11.0058 11.0058 1.74831
16 1 1.57303 4.71799 1.57303 1.82669
17 1 3.14551 3.14551 0.000566325 1.82677
18 1 4.71797 4.71797 1.57317 1.82692
50 1 0.000534926 0.000534926 3.1455 1.8266
20 1 7.86284 4.71803 1.57314 1.82685
445 1 11.0058 11.0058 7.83867 1.74831
22 1 11.0075 4.71808 1.57316 1.82695
444 1 7.8673 11.0063 7.8673 1.84081
24 1 14.1522 4.71809 1.57319 1.82677
54 1 6.29045 0.000489832 3.14557 1.82669
26 1 17.297 4.71803 1.57316 1.82693
193 1 11.0058 7.83867 11.0058 1.74831
28 1 20.4419 4.71801 1.5731 1.82656
29 1 0.000551202 6.29044 0.000551202 1.82666
30 1 1.57305 7.86283 1.57305 1.82677
192 1 7.8673 7.8673 11.0063 1.84081
32 1 4.71803 7.86284 1.57314 1.82685
33 1 6.29029 6.29029 0.000683825 1.82722
34 1 7.86268 7.86268 1.57339 1.82741
35 1 9.4352 6.29045 0.000608072 1.82707
36 1 11.0075 7.86286 1.57361 1.82726
37 1 12.5799 6.29048 0.000616127 1.82704
38 1 14.1523 7.86274 1.57347 1.82726
39 1 15.7247 6.29039 0.000684531 1.82714
40 1 17.2968 7.86306 1.57356 1.82646
41 1 18.8694 6.2905 0.00070795 1.82656
42 1 20.4419 7.86289 1.57319 1.8267
56 1 9.43522 0.000476071 3.14561 1.8268
58 1 12.5799 0.000477387 3.14564 1.82677
45 1 6.29045 9.4352 0.000608072 1.82707
60 1 15.7246 0.00047844 3.14563 1.82659
47 1 12.58 9.43506 0.00118798 1.82722
48 1 15.7245 9.43534 0.0010707 1.82676
49 1 18.8694 9.43528 0.000785073 1.82669
171 1 6.29372 9.43406 9.43406 1.84494
51 1 1.57303 1.57303 4.71799 1.82669
52 1 3.14551 0.000566325 3.14551 1.82677
53 1 4.71797 1.57317 4.71797 1.82692
170 1 3.14621 9.43487 9.43487 1.82842
55 1 7.86284 1.57314 4.71803 1.82685
169 1 0.00109679 9.43505 9.43505 1.82726
57 1 11.0075 1.57316 4.71808 1.82695
168 1 18.8687 6.29087 9.43551 1.82688
59 1 14.1522 1.57319 4.71809 1.82677
167 1 15.7215 6.29364 9.43745 1.81937
61 1 17.297 1.57316 4.71803 1.82693
166 1 12.5808 6.29254 9.43387 1.84142
63 1 20.4419 1.5731 4.71801 1.82656
64 1 0.000566325 3.14551 3.14551 1.82677
65 1 1.57317 4.71797 4.71797 1.82692
66 1 3.14559 3.14559 3.14559 1.82664
67 1 4.71835 4.71835 4.71835 1.82621
68 1 6.29044 3.14559 3.14559 1.82682
69 1 7.86293 4.71829 4.71829 1.82671
70 1 9.43519 3.14563 3.14563 1.82694
71 1 11.0074 4.7184 4.7184 1.82717
72 1 12.5798 3.14566 3.14566 1.82687
73 1 14.152 4.71837 4.71837 1.82638
74 1 15.7246 3.14564 3.14564 1.82665
75 1 17.2968 4.71836 4.71836 1.82688
76 1 18.8694 3.14564 3.14564 1.82664
77 1 20.4419 4.71796 4.71796 1.82712
