ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
694
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
148 1 22.0103 0.000394266 9.43181 1.8339
2 1 1.56921 1.57151 1.57021 1.83651
344 1 1.57036 11.0069 1.57083 1.83372
4 1 4.71337 1.57113 1.56967 1.83529
443 1 4.70876 11.0055 7.85866 1.82279
6 1 7.85845 1.57122 1.5691 1.83425
50 1 22.0114 0.000535513 3.14203 1.83595
8 1 11.004 1.57165 1.56876 1.83386
175 1 18.8717 9.43299 9.4293 1.82995
10 1 14.1497 1.57203 1.56885 1.83424
174 1 15.7354 9.4264 9.4151 1.80192
12 1 17.2951 1.57214 1.56943 1.83534
444 1 7.84806 11.0069 7.84844 1.62771
14 1 20.4396 1.572 1.57012 1.83641
512 1 1.56252 11.0063 11.0049 1.83207
16 1 1.56921 4.71565 1.57072 1.83523
442 1 1.5679 11.0066 7.85844 1.83196
18 1 4.7126 4.71483 1.57005 1.83517
99 1 22.0108 0.000685464 6.28667 1.83457
20 1 7.85783 4.71455 1.56921 1.83405
446 1 14.1785 11.0007 7.82527 1.67673
22 1 11.0039 4.71474 1.56863 1.83361
394 1 4.71322 11.0069 4.71366 1.82982
24 1 14.1503 4.71485 1.56868 1.83435
152 1 12.5773 0.00214831 9.43096 1.83183
26 1 17.2962 4.71497 1.56952 1.83608
393 1 1.57012 11.0069 4.71403 1.83257
28 1 20.4401 4.71562 1.57041 1.83585
195 1 17.297 7.86099 11.0038 1.82323
30 1 1.56978 7.86108 1.57103 1.83404
345 1 4.71356 11.0069 1.57058 1.83257
32 1 4.71299 7.86077 1.57071 1.83308
194 1 14.1493 7.8634 10.9934 1.70433
34 1 7.85723 7.85972 1.56847 1.83355
153 1 15.7225 0.00268713 9.43148 1.83197
36 1 11.0041 7.85966 1.5666 1.83331
189 1 20.4374 4.71555 11.0045 1.83265
38 1 14.152 7.85941 1.56658 1.83502
188 1 17.294 4.71636 11.0042 1.82928
40 1 17.2975 7.8602 1.5688 1.83536
62 1 18.8678 0.00143936 3.14132 1.83586
42 1 20.4409 7.86092 1.57041 1.83489
192 1 7.82745 7.83097 11.0038 1.70584
111 1 18.8674 0.00188487 6.28631 1.83411
154 1 18.8668 0.00167121 9.4317 1.83321
178 1 7.85609 1.56741 11.0049 1.83274
163 1 3.13515 6.28462 9.43108 1.83352
191 1 4.69967 7.85391 11.0054 1.82971
190 1 1.56376 7.8587 11.0048 1.83325
184 1 4.70635 4.70953 11.0048 1.83593
51 1 1.56853 1.5717 4.7142 1.83527
173 1 12.6257 9.3863 9.37788 1.5874
53 1 4.71222 1.57079 4.71308 1.8357
183 1 1.56527 4.71371 11.0047 1.83402
55 1 7.85782 1.57112 4.71261 1.83404
56 1 9.4312 0.000640944 3.14025 1.83402
57 1 11.004 1.57199 4.71241 1.83343
58 1 12.5771 0.00131449 3.14006 1.83406
59 1 14.1501 1.57267 4.7126 1.83387
60 1 15.7228 0.00167233 3.14045 1.83487
61 1 17.2952 1.57298 4.71349 1.83438
172 1 9.36484 9.35312 9.34928 2.0192
63 1 20.4391 1.57251 4.71432 1.83484
64 1 22.0112 3.14372 3.14226 1.83559
65 1 1.56815 4.71537 4.71396 1.83485
66 1 3.14032 3.14289 3.1416 1.83647
67 1 4.71034 4.7131 4.71168 1.83864
68 1 6.28505 3.1425 3.14082 1.83483
69 1 7.85647 4.71285 4.71092 1.83428
70 1 9.43086 3.1428 3.14041 1.83366
71 1 11.0038 4.71358 4.71059 1.83302
72 1 12.577 3.14328 3.14027 1.83366
73 1 14.1512 4.71384 4.71071 1.83497
74 1 15.723 3.14348 3.14073 1.83492
75 1 17.2967 4.71471 4.71222 1.83635
76 1 18.8678 3.14374 3.14169 1.83583
77 1 20.4397 4.71574 4.71391 1.83502
